,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
175,Aston Villa,Everton,1718,1759,1,3,A,32,28,20,21,29,32,W,5,5,13,4,5,7,4,0,0,0,6.25,3.75,1.6,8,15,18,W,3
176,Sheffield,Tottenham,1602,1813,0,0,D,9,30,30,15,2,31,L,3,4,15,6,7,3,2,1,0,0,1.95,3.8,3.6,18,9,18,L,0
177,Liverpool,Man Utd,1910,1934,4,0,H,36,34,21,24,31,36,L,6,0,9,8,11,1,0,0,0,0,1.14,8.5,17,2,3,18,L,0
178,Man City,Crystal Palace,2013,1690,3,0,H,28,22,13,30,35,21,W,6,1,9,8,7,2,0,0,0,0,1.4,4.5,8,18,18,18,W,3
179,Arsenal,Newcastle,1830,1500,2,1,H,20,18,19,27,23,19,W,6,2,10,10,3,1,0,1,0,0,1.57,4.2,5.5,1,4,18,W,3
180,West Ham,West Brom,1804,1624,2,0,H,26,14,21,41,31,11,W,6,5,7,16,6,3,1,3,0,0,2.87,3.4,2.45,7,18,19,W,3
181,Leicester,Chelsea,1802,1885,2,0,H,33,32,21,20,35,29,W,9,4,10,9,16,2,0,2,0,0,1.22,6.5,12,20,6,19,W,3
182,Man City,Aston Villa,2013,1718,1,2,A,29,34,15,23,35,29,L,5,5,6,10,2,8,3,1,0,0,6,4.33,1.53,18,8,19,L,0
183,Fulham,Man Utd,1631,1934,0,1,A,14,34,26,28,12,36,L,6,4,11,8,12,0,2,1,0,0,1.18,7.5,15,13,3,19,L,0
184,Liverpool,Burnley,1910,1711,2,0,H,40,9,21,24,34,16,W,5,1,9,18,5,4,0,3,0,0,1.45,4.75,6.5,2,18,19,W,3
185,Aston Villa,Newcastle,1718,1500,2,3,A,34,19,23,29,29,19,L,3,7,9,8,3,4,0,0,0,0,3.1,3.25,2.37,8,4,19,L,0
186,Newcastle,Leeds,1500,1727,1,2,A,19,30,29,34,19,23,L,5,2,10,15,9,5,1,3,0,0,3.9,3.8,1.85,4,5,19,L,0
187,Crystal Palace,West Ham,1690,1804,1,3,A,22,26,30,21,22,31,D,5,5,11,6,4,5,1,2,0,0,3.5,3.6,2.05,18,7,19,D,1
188,West Brom,Man City,1624,2013,0,5,A,14,29,41,15,11,35,W,1,7,8,8,3,8,2,0,0,0,15,7.5,1.18,18,18,19,W,3
189,Southampton,Arsenal,1693,1830,3,2,H,26,20,21,19,29,24,L,5,10,16,7,2,4,1,0,0,0,3.8,3.5,1.95,11,1,19,L,0
190,Burnley,Aston Villa,1711,1718,0,0,D,9,34,24,23,17,30,D,5,0,14,7,13,1,1,1,0,0,1.6,4.2,5.25,18,8,20,D,1
191,Chelsea,Wolves,1885,1757,0,0,D,32,22,22,30,29,22,L,5,3,10,14,10,0,2,1,0,0,2.05,3.4,3.75,6,18,20,L,0
192,Brighton,Fulham,1696,1631,1,1,D,21,15,28,27,17,13,W,2,6,12,10,5,11,1,1,0,0,2.8,3.3,2.55,18,13,20,W,3
193,Everton,Leicester,1759,1802,1,2,A,32,35,24,21,35,38,L,4,3,10,12,7,2,1,1,0,0,1.25,6,11,15,20,20,L,0
