,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Fulham,Arsenal,1631,1830,0,3,A,0,0,0,0,0,0,M,2,6,12,12,2,3,2,2,0,0,6,4.33,1.53,13,1,1,M,0
1,Crystal Palace,Southampton,1690,1693,1,0,H,0,0,0,0,0,0,M,3,5,14,11,7,3,2,1,0,0,3.1,3.25,2.37,18,11,1,M,0
2,Liverpool,Leeds,1910,1727,4,3,H,0,0,0,0,0,0,M,6,3,9,6,9,0,1,0,0,0,1.28,6,9.5,2,5,1,M,0
3,West Ham,Newcastle,1804,1500,0,2,A,0,0,0,0,0,0,M,3,2,13,7,8,7,2,2,0,0,2.15,3.4,3.4,7,4,1,M,0
4,West Brom,Leicester,1624,1802,0,3,A,0,0,0,0,0,0,M,1,7,12,9,2,5,1,1,0,0,3.8,3.6,1.95,18,20,1,M,0
5,Tottenham,Everton,1813,1759,0,1,A,0,0,0,0,0,0,M,5,4,15,7,5,3,1,0,0,0,1.83,3.6,4.33,9,15,1,M,0
6,Sheffield,Wolves,1602,1757,1,3,A,0,0,0,0,0,0,M,3,5,8,13,4,3,1,0,0,0,5,4.33,1.61,18,18,1,M,0
7,Brighton,Chelsea,1696,1885,0,2,A,0,0,0,0,0,0,M,2,4,13,7,12,5,2,1,0,0,3.25,3.1,2.37,18,6,1,M,0
8,Everton,West Brom,1759,1624,5,2,H,0,0,0,0,0,0,M,7,4,9,11,11,1,1,0,0,1,1.5,4.2,6.5,15,18,1,M,0
9,Leeds,Fulham,1727,1631,4,3,H,0,0,0,0,0,0,M,7,6,13,18,5,3,1,2,0,0,1.61,3.9,5.75,5,13,1,M,0
10,Man Utd,Crystal Palace,1934,1690,1,3,A,1,1,3,0,0,3,L,4,5,13,10,9,3,2,1,0,0,1.3,5.5,9.5,3,18,2,L,0
11,Arsenal,West Ham,1830,1804,2,1,H,3,0,0,2,3,0,W,3,3,11,13,7,5,0,1,0,0,1.53,4.5,5.5,1,7,2,W,3
12,Southampton,Tottenham,1693,1813,2,5,A,0,0,1,1,0,0,L,7,6,16,18,3,2,4,3,0,0,3,3.3,2.37,11,9,2,L,0
13,Newcastle,Brighton,1500,1696,0,3,A,2,0,0,2,3,0,W,0,6,16,15,7,1,3,0,0,1,2.6,3.1,2.87,4,18,2,W,3
14,Chelsea,Liverpool,1885,1910,0,2,A,2,4,0,3,3,3,W,3,6,10,6,1,11,0,0,1,0,3.1,3.6,2.2,6,2,2,W,3
15,Leicester,Burnley,1802,1711,4,2,H,3,2,0,4,3,0,W,6,5,11,13,15,4,1,2,0,0,1.61,4,5.5,20,18,2,W,3
16,Aston Villa,Sheffield,1718,1602,1,0,H,1,1,0,3,3,0,W,2,1,12,13,10,4,3,1,0,1,2.7,3.1,2.75,8,18,2,W,3
17,Wolves,Man City,1757,2013,1,3,A,3,3,1,1,3,3,W,1,9,6,8,4,6,0,3,0,0,6.5,4.33,1.5,18,18,2,W,3
18,Brighton,Man Utd,1696,1934,2,3,A,0,1,2,3,0,0,L,5,3,18,16,7,1,4,2,0,0,4.75,3.75,1.72,18,3,2,L,0
19,Crystal Palace,Everton,1690,1759,1,2,A,1,1,0,0,3,3,W,1,5,16,15,7,6,3,1,0,0,3.75,3.25,2.1,18,15,2,W,3
20,West Brom,Chelsea,1624,1885,3,3,D,2,2,8,2,0,3,L,3,10,8,16,3,9,1,3,0,0,9,4.75,1.36,18,6,3,L,0
21,Burnley,Southampton,1711,1693,0,1,A,2,2,5,6,0,0,L,2,1,8,10,8,2,1,0,0,0,3.2,3.3,2.3,18,11,3,L,0
22,Sheffield,Leeds,1602,1727,0,1,A,1,7,4,7,0,3,L,4,9,18,4,5,7,2,1,0,0,2.7,3.3,2.62,18,5,3,L,0
23,Tottenham,Newcastle,1813,1500,1,1,D,5,2,3,3,3,3,W,12,1,15,9,10,4,1,4,0,0,1.45,4.5,7,9,4,3,W,3
24,Man City,Leicester,2013,1802,2,5,A,5,7,6,2,3,6,L,5,7,13,8,3,4,1,3,0,0,1.28,6,9.5,18,20,3,L,0
25,West Ham,Wolves,1804,1757,4,0,H,1,4,4,4,0,3,L,7,2,7,11,1,3,0,1,0,0,3.6,3.5,2.05,7,18,3,L,0
26,Fulham,Aston Villa,1631,1718,0,3,A,3,4,7,0,0,6,L,3,5,18,14,5,3,6,3,0,0,2.9,3.25,2.5,13,8,3,L,0
27,Liverpool,Arsenal,1910,1830,3,1,H,6,5,3,1,6,6,W,8,3,11,7,7,3,2,2,0,0,1.45,4.75,6.5,2,1,3,W,3
28,Chelsea,Crystal Palace,1885,1690,4,0,H,2,4,2,1,3,6,L,6,0,17,13,8,5,2,0,0,0,1.4,4.75,8,6,18,3,L,0
29,Everton,Brighton,1759,1696,4,2,H,6,3,2,2,6,3,W,6,3,13,14,3,10,0,1,0,0,1.72,3.75,4.8,15,18,3,W,3
30,Leeds,Man City,1727,2013,1,1,D,8,6,7,7,6,4,W,7,2,11,12,7,10,2,1,0,0,7.5,5.25,1.36,5,18,4,W,3
31,Newcastle,Burnley,1500,1711,3,1,H,3,3,4,8,4,0,D,5,3,13,17,3,4,2,3,0,0,2.4,3.2,3.1,4,18,4,D,1
32,Leicester,West Ham,1802,1804,0,3,A,12,5,4,4,9,3,W,0,6,11,8,6,4,2,2,0,0,1.61,4.2,5.25,20,7,4,W,3
33,Southampton,West Brom,1693,1624,2,0,H,3,5,6,11,3,1,W,7,2,19,10,5,1,2,1,0,0,1.72,3.8,4.75,11,18,4,W,3
34,Arsenal,Sheffield,1830,1602,2,1,H,6,1,4,5,6,0,L,5,2,3,9,2,4,0,1,0,0,1.57,4,6,1,18,4,L,0
35,Wolves,Fulham,1757,1631,1,0,H,4,3,8,10,3,0,L,5,2,15,8,6,2,1,1,0,0,1.5,4,7.5,18,13,4,L,0
36,Man Utd,Tottenham,1934,1813,1,6,A,5,6,11,4,3,4,L,2,8,14,10,2,4,2,1,1,0,1.85,3.8,4,3,9,4,L,0
37,Aston Villa,Liverpool,1718,1910,7,2,H,11,9,2,4,9,9,W,11,8,7,10,2,7,2,1,0,0,10,5.5,1.3,8,2,4,W,3
38,Everton,Liverpool,1759,1910,2,2,D,8,9,3,4,9,9,W,5,8,15,9,2,5,3,2,1,0,3.75,4.2,1.83,15,2,4,W,3
39,Chelsea,Southampton,1885,1693,3,3,D,5,3,5,6,4,3,D,5,6,11,9,6,2,1,1,0,0,1.45,4.75,6.5,6,11,4,D,1
40,Man City,Arsenal,2013,1830,1,0,H,7,8,7,5,7,9,W,5,3,15,10,6,6,4,1,0,0,1.44,5,6.5,18,1,5,W,3
41,Newcastle,Man Utd,1500,1934,1,4,A,6,9,5,12,7,6,W,4,14,9,12,0,7,1,1,0,0,4.75,4,1.66,4,3,5,W,3
42,Sheffield,Fulham,1602,1631,1,1,D,2,3,7,11,0,0,L,6,6,5,9,2,5,0,2,0,0,2.1,3.3,3.7,18,13,5,L,0
43,Crystal Palace,Brighton,1690,1696,1,1,D,5,7,7,9,6,3,L,1,3,13,12,2,5,3,2,0,1,2.62,3.3,2.7,18,18,5,L,0
44,Tottenham,West Ham,1813,1804,3,3,D,12,8,5,4,7,6,W,6,4,13,12,3,7,0,5,0,0,1.57,4.33,5.5,9,7,5,W,3
45,Leicester,Aston Villa,1802,1718,0,1,A,12,12,7,2,9,12,L,5,4,18,18,2,7,4,3,0,0,1.83,3.8,4.1,20,8,5,L,0
46,West Brom,Burnley,1624,1711,0,0,D,5,3,13,8,1,1,L,6,4,15,17,8,2,2,2,0,0,2.45,3.3,2.9,18,18,5,L,0
47,Leeds,Wolves,1727,1757,0,1,A,9,5,8,8,7,6,D,2,3,13,12,8,3,2,1,0,0,2.5,3.3,2.87,5,18,5,D,1
48,Aston Villa,Leeds,1718,1727,0,3,A,12,9,2,8,12,7,W,4,9,14,17,6,5,2,2,0,0,2.05,3.75,3.3,8,5,5,W,3
49,West Ham,Man City,1804,2013,1,1,D,8,7,4,7,6,7,W,2,7,14,6,2,10,2,0,0,0,8,5.25,1.36,7,18,5,W,3
50,Fulham,Crystal Palace,1631,1690,1,2,A,4,6,12,8,1,7,D,3,10,11,11,4,4,0,1,1,0,2.75,3.1,2.7,13,18,6,D,1
51,Man Utd,Chelsea,1934,1885,0,0,D,9,12,12,8,7,8,D,4,1,8,6,9,6,3,1,0,0,2.37,3.6,2.8,3,6,6,D,1
52,Liverpool,Sheffield,1910,1602,2,1,H,13,3,13,8,10,1,D,5,2,7,15,7,3,0,3,0,0,1.22,6.5,12,2,18,6,D,1
53,Southampton,Everton,1693,1759,2,0,H,8,14,9,7,7,13,D,6,2,11,11,4,5,1,2,0,1,2.75,3.4,2.55,11,15,6,D,1
54,Wolves,Newcastle,1757,1500,1,1,D,6,7,8,9,9,7,W,3,2,10,10,2,3,0,1,0,0,1.75,3.5,5.25,18,4,6,W,3
55,Arsenal,Leicester,1830,1802,0,1,A,8,12,6,8,9,9,L,4,2,13,9,9,3,3,5,0,0,1.9,3.75,3.8,1,20,6,L,0
56,Brighton,West Brom,1696,1624,1,1,D,8,5,10,13,4,2,D,3,3,14,7,6,2,2,0,0,0,1.7,4,4.75,18,18,6,D,1
57,Burnley,Tottenham,1711,1813,0,1,A,3,15,9,8,1,8,L,4,3,9,7,4,5,2,0,0,0,5.75,4,1.6,18,9,6,L,0
58,Wolves,Crystal Palace,1757,1690,2,0,H,6,6,8,8,9,7,W,5,2,13,4,7,6,0,2,0,1,2,3.2,4.33,18,18,6,W,3
59,Sheffield,Man City,1602,2013,0,1,A,3,8,8,8,1,8,D,1,8,14,6,2,5,0,0,0,0,9.5,6,1.28,18,18,6,D,1
60,Burnley,Chelsea,1711,1885,0,3,A,3,12,12,8,1,9,L,0,9,10,15,3,4,1,0,0,0,6,4.5,1.5,18,6,7,L,0
61,Liverpool,West Ham,1910,1804,2,1,H,15,12,14,8,13,8,W,5,3,13,14,1,2,0,1,0,0,1.36,5.25,7.5,2,7,7,W,3
62,Aston Villa,Southampton,1718,1693,3,4,A,15,10,9,9,12,10,L,10,4,12,17,11,1,1,2,0,0,2.45,3.5,2.8,8,11,7,L,0
63,Newcastle,Everton,1500,1759,2,1,H,8,14,10,9,8,13,D,4,4,9,10,5,4,2,4,0,0,3.7,3.4,2.05,4,15,7,D,1
64,Man Utd,Arsenal,1934,1830,0,1,A,9,8,13,7,7,9,L,2,2,12,12,6,3,3,3,0,0,2,3.6,3.6,3,1,7,L,0
65,Tottenham,Brighton,1813,1696,2,1,H,16,9,8,11,11,5,W,3,2,14,13,4,5,2,1,0,0,1.61,4,5.5,9,18,7,W,3
66,Fulham,West Brom,1631,1624,2,0,H,5,6,14,14,1,3,L,6,1,13,11,5,2,3,2,0,0,2.4,3.3,3,13,18,7,L,0
67,Leeds,Leicester,1727,1802,1,4,A,12,13,9,8,10,12,W,4,8,9,5,10,3,1,1,0,0,2.5,3.6,2.62,5,20,7,W,3
68,Brighton,Burnley,1696,1711,0,0,D,9,3,11,12,5,1,D,3,1,11,5,5,3,1,0,0,0,1.85,3.5,4.33,18,18,7,D,1
69,Southampton,Newcastle,1693,1500,2,0,H,10,8,9,10,10,8,W,8,2,12,11,8,3,1,2,0,0,2,3.6,3.7,11,4,7,W,3
70,Everton,Man Utd,1759,1934,1,3,A,15,12,11,14,13,10,L,1,5,12,19,5,2,4,2,0,0,2.9,3.5,2.37,15,3,8,L,0
71,Crystal Palace,Leeds,1690,1727,4,1,H,8,13,11,13,10,10,L,6,3,9,1,3,6,0,2,0,0,2.87,3.4,2.45,18,5,8,L,0
72,Chelsea,Sheffield,1885,1602,4,1,H,15,4,8,11,12,1,W,9,3,5,14,6,7,0,2,0,0,1.36,5,8.5,6,18,8,W,3
73,West Ham,Fulham,1804,1631,1,0,H,13,7,10,14,8,4,L,7,3,10,9,9,5,2,2,0,0,1.83,3.75,4.2,7,13,8,L,0
74,West Brom,Tottenham,1624,1813,0,1,A,6,18,16,9,3,14,L,2,5,17,12,9,6,1,0,0,0,7,4.33,1.45,18,9,8,L,0
75,Leicester,Wolves,1802,1757,1,0,H,17,9,9,9,15,13,W,3,2,12,8,6,3,2,3,0,0,2.3,3.2,3.25,20,18,8,W,3
76,Man City,Liverpool,2013,1910,1,1,D,10,17,9,15,12,16,D,2,3,19,11,1,2,3,1,0,0,1.95,4.2,3.4,18,2,8,D,1
77,Arsenal,Aston Villa,1830,1718,0,3,A,9,18,7,9,12,15,W,2,6,11,13,3,8,0,0,0,0,1.65,4.1,5,1,8,8,W,3
78,Newcastle,Chelsea,1500,1885,0,2,A,10,15,11,8,11,12,W,1,3,11,12,7,4,2,0,0,0,6.5,4.75,1.45,4,6,8,W,3
79,Aston Villa,Brighton,1718,1696,1,2,A,18,10,9,13,15,5,W,4,3,5,18,12,3,2,1,0,1,2.15,3.6,3.2,8,18,8,W,3
80,Tottenham,Man City,1813,2013,2,0,H,19,10,9,11,17,12,W,2,5,13,19,0,10,2,2,0,0,4,4,1.8,9,18,9,W,3
81,Man Utd,West Brom,1934,1624,1,0,H,13,6,14,17,13,3,W,7,2,12,17,8,2,1,1,0,0,1.3,5.5,9.5,3,18,9,W,3
82,Fulham,Everton,1631,1759,2,3,A,7,16,15,14,4,13,L,6,7,14,10,2,5,2,0,0,0,3.9,3.9,1.85,13,15,9,L,0
83,Sheffield,West Ham,1602,1804,0,1,A,5,14,15,10,1,11,L,5,3,7,6,2,6,0,0,0,0,3,3.25,2.4,18,7,9,L,0
84,Leeds,Arsenal,1727,1830,0,0,D,14,9,17,10,10,12,L,4,2,9,8,5,3,3,0,0,1,3,3.75,2.2,5,1,9,L,0
85,Liverpool,Leicester,1910,1802,3,0,H,18,18,16,9,17,18,D,13,4,15,6,10,3,0,2,0,0,1.85,4,3.8,2,20,9,D,1
86,Burnley,Crystal Palace,1711,1690,1,0,H,4,12,12,12,5,13,W,4,5,13,9,4,7,2,0,0,0,2.75,3.1,2.75,18,18,9,W,3
87,Wolves,Southampton,1757,1693,1,1,D,9,16,10,12,13,16,L,9,2,14,13,7,4,2,0,0,0,2.3,3.25,3.25,18,11,9,L,0
88,Crystal Palace,Newcastle,1690,1500,0,2,A,12,10,12,13,13,11,W,3,7,9,10,7,3,2,2,0,0,2.05,3.25,3.75,18,4,9,W,3
89,Brighton,Liverpool,1696,1910,1,1,D,10,18,13,16,6,17,D,3,2,9,13,4,3,2,1,0,0,5.5,4.2,1.57,18,2,9,D,1
90,Man City,Burnley,2013,1711,5,0,H,15,4,11,17,15,5,W,6,1,12,4,6,4,0,0,0,0,1.16,7.5,16,18,18,10,W,3
91,Everton,Leeds,1759,1727,0,1,A,19,14,16,17,16,11,W,8,7,8,14,4,2,1,2,0,0,1.95,3.8,3.6,15,5,10,W,3
92,West Brom,Sheffield,1624,1602,1,0,H,6,5,18,16,3,1,L,6,5,10,9,14,9,2,3,0,0,2.6,3.2,2.8,18,18,10,L,0
93,Southampton,Man Utd,1693,1934,2,3,A,17,16,13,16,17,16,D,5,6,12,12,5,9,1,0,0,0,4,3.5,1.95,11,3,10,D,1
94,Chelsea,Tottenham,1885,1813,0,0,D,21,21,9,9,18,20,W,3,1,20,9,3,3,4,2,0,0,2.05,3.5,3.6,6,9,10,W,3
95,Arsenal,Wolves,1830,1757,1,2,A,9,10,10,11,13,14,D,2,5,13,13,8,4,3,4,0,0,2.05,3.4,3.75,1,18,10,D,1
96,Leicester,Fulham,1802,1631,1,2,A,18,9,12,18,18,4,L,3,5,9,21,6,5,0,2,0,0,1.5,4.33,6.5,20,13,10,L,0
97,West Ham,Aston Villa,1804,1718,2,1,H,15,20,10,13,14,15,W,2,6,20,7,3,7,1,1,0,0,2.25,3.6,3,7,8,10,W,3
98,Burnley,Everton,1711,1759,1,1,D,4,19,17,16,5,16,L,3,6,6,9,8,4,0,0,0,0,4,3.5,1.9,18,15,10,L,0
99,Man City,Fulham,2013,1631,2,0,H,15,9,11,18,15,4,W,6,1,7,6,9,3,0,0,0,0,1.1,11,19,18,13,10,W,3
100,West Ham,Man Utd,1804,1934,1,3,A,17,19,11,17,17,19,W,6,6,9,10,5,4,0,0,0,0,3.6,3.6,2,7,3,11,W,3
101,Chelsea,Leeds,1885,1727,3,1,H,21,15,9,17,19,14,D,11,3,12,9,8,4,0,2,0,0,1.5,4.5,6,6,5,11,D,1
102,West Brom,Crystal Palace,1624,1690,1,5,A,7,12,18,15,6,13,W,4,6,10,16,4,6,2,2,1,0,2.87,3.2,2.55,18,18,11,W,3
103,Sheffield,Leicester,1602,1802,1,2,A,5,19,17,14,1,18,L,1,4,13,6,6,5,1,3,0,0,3.8,3.5,1.95,18,20,11,L,0
104,Tottenham,Arsenal,1813,1830,2,0,H,21,10,9,12,21,13,D,3,2,16,12,3,9,1,2,0,0,1.95,3.6,3.8,9,1,11,D,1
105,Liverpool,Wolves,1910,1757,4,0,H,22,12,17,12,21,17,D,6,3,8,14,4,6,1,1,0,0,1.5,4.33,6.5,2,18,11,D,1
106,Brighton,Southampton,1696,1693,1,2,A,13,19,15,16,10,17,D,4,3,12,12,4,3,3,3,0,0,2.45,3.4,2.9,18,11,11,D,1
107,Leeds,West Ham,1727,1804,1,2,A,15,17,17,11,14,17,W,7,8,12,10,5,6,1,2,0,0,2.15,3.7,3.1,5,7,11,W,3
108,Wolves,Aston Villa,1757,1718,0,1,A,12,21,12,13,17,18,W,7,2,23,15,5,8,2,5,0,0,2.25,3.25,3.25,18,8,11,W,3
109,Newcastle,West Brom,1500,1624,2,1,H,12,7,15,18,14,6,W,7,3,9,12,4,3,2,3,0,0,2.45,3.2,3,4,18,11,W,3
110,Man Utd,Man City,1934,2013,0,0,D,19,17,17,11,20,19,D,2,2,13,6,4,3,1,1,0,0,4.33,4.2,1.72,3,18,12,D,1
111,Everton,Chelsea,1759,1885,1,0,H,20,24,18,10,17,22,D,4,3,10,11,6,6,2,3,0,0,4.33,4.2,1.7,15,6,12,D,1
112,Southampton,Sheffield,1693,1602,3,0,H,21,6,17,19,20,1,W,6,0,8,14,8,4,0,1,0,0,1.7,3.75,5,11,18,12,W,3
113,Crystal Palace,Tottenham,1690,1813,1,1,D,17,23,16,9,16,24,W,5,6,15,11,4,7,1,1,0,0,4.5,3.9,1.72,18,9,12,W,3
114,Fulham,Liverpool,1631,1910,1,1,D,11,26,21,17,7,24,L,5,6,9,5,6,8,3,1,0,0,9,5.5,1.3,13,2,12,L,0
115,Arsenal,Burnley,1830,1711,0,1,A,10,6,14,18,13,9,L,6,2,5,11,13,4,2,1,1,0,1.53,4.2,6.25,1,18,12,L,0
116,Leicester,Brighton,1802,1696,3,0,H,21,14,15,17,21,10,W,6,4,9,11,9,5,2,1,0,0,2,3.5,3.8,20,18,12,W,3
117,Wolves,Chelsea,1757,1885,2,1,H,12,24,16,10,17,22,L,4,3,12,12,5,6,2,2,0,0,5.25,3.8,1.66,18,6,12,L,0
118,Man City,West Brom,2013,1624,1,1,D,17,8,11,23,19,6,D,7,1,5,8,13,2,2,3,0,0,1.09,11,21,18,18,12,D,1
119,Arsenal,Southampton,1830,1693,1,1,D,10,21,14,17,13,20,L,4,3,13,13,2,7,1,3,1,0,2.25,3.5,3.1,1,11,12,L,0
120,Leeds,Newcastle,1727,1500,5,2,H,17,16,22,21,14,17,L,10,4,10,13,7,4,3,1,0,0,1.75,4,4.33,5,4,13,L,0
121,Leicester,Everton,1802,1759,0,2,A,24,21,15,18,24,20,W,2,6,12,9,4,6,2,3,0,0,2.15,3.6,3.25,20,15,13,W,3
122,Fulham,Brighton,1631,1696,0,0,D,12,14,22,20,8,10,D,4,4,15,11,1,8,1,0,0,0,2.87,3.3,2.5,13,18,13,D,1
123,West Ham,Crystal Palace,1804,1690,2,1,H,20,18,15,17,20,17,W,11,2,8,9,7,4,0,2,0,0,1.75,3.8,4.5,7,18,13,W,3
124,Liverpool,Tottenham,1910,1813,1,1,D,27,24,18,10,25,25,D,2,2,8,12,5,3,0,1,0,1,2.05,3.4,3.6,2,9,13,D,1
125,Aston Villa,Burnley,1718,1711,0,0,D,24,6,13,18,22,10,W,7,4,17,19,11,1,1,1,0,0,1.75,3.8,4.5,8,18,13,W,3
126,Sheffield,Man Utd,1602,1934,2,3,A,6,22,22,19,1,23,L,6,8,17,8,6,3,3,2,0,0,7,4.6,1.44,18,3,13,L,0
